 7720 : 5552 2019-10-16 23: 5:41 686 :  0:	daemon.exe started
 7720 :11296 2019-10-16 23: 5:41 702 :  0:	starting service
 7720 : 5552 2019-10-16 23: 6:44  39 :  0:	stopping service
 5340 :10016 2019-10-16 23: 6:47 213 :  0:	KSetup::Install:err
 5340 :10016 2019-10-16 23: 6:49 921 :  0:	KSetup::Stop:err
 3968 :  820 2019-10-16 23: 6:51 583 :  0:	daemon.exe started
 3968 : 7980 2019-10-16 23: 6:51 597 :  0:	starting service
 3968 : 7980 2019-10-16 23: 7: 8 246 :  0:	KTS connected to 192.168.1.168:60561
 2524 :11772 2019-10-16 23: 7:10 178 :  0:	session.exe started 
 2524 :11772 2019-10-16 23: 7:10 282 :  0:	connected to 192.168.1.168:60561
 2524 : 8152 2019-10-16 23: 7:19 386 :  0:	login accepted: [ admin68 ]
 3968 :  820 2019-10-16 23: 7:50 440 :  0:	stopping service
 2524 :10700 2019-10-16 23: 7:51 242 :  0:	KTS service stopped
 8632 : 5864 2019-10-16 23: 7:51 864 :  0:	daemon.exe started
 8632 :11984 2019-10-16 23: 7:51 997 :  0:	starting service
 2524 :10700 2019-10-16 23: 7:52 255 :  0:	shutdown
 2524 : 7276 2019-10-16 23: 7:52 269 :  0:	session.exe end
 8632 :11984 2019-10-16 23: 7:57 586 :  0:	KTS connected to 192.168.1.168:60659
12264 : 5228 2019-10-16 23: 7:57 879 :  0:	session.exe started 
12264 : 5228 2019-10-16 23: 7:57 999 :  0:	connected to 192.168.1.168:60659
12264 : 4360 2019-10-16 23: 8: 0 553 :  0:	login accepted: [ admin68 ]
12264 : 6156 2019-10-16 23: 8: 9 907 :  0:	disconnected
 8632 :11984 2019-10-16 23: 8:23 931 :  0:	KTS connected to 192.168.1.168:60714
 5524 :11628 2019-10-16 23: 8:24 235 :  0:	session.exe started 
 5524 :11628 2019-10-16 23: 8:24 345 :  0:	connected to 192.168.1.168:60714
 5524 :11024 2019-10-16 23: 8:26 901 :  0:	login accepted: [ admin68 ]
 5524 :11628 2019-10-16 23: 8:28 904 :  0:	disconnecting
 5524 :11628 2019-10-16 23: 8:28 918 :  0:	shutdown session
 5524 : 7520 2019-10-16 23: 8:28 933 :  0:	session.exe end
12264 : 6156 2019-10-16 23: 8:29 947 :  0:	disconnected
 8632 : 5864 2019-10-16 23: 8:30 764 :  0:	stopping service
12264 : 6156 2019-10-16 23: 8:30 962 :  0:	KTS service stopped
12264 : 6156 2019-10-16 23: 8:31 976 :  0:	shutdown
12264 : 7212 2019-10-16 23: 8:31 992 :  0:	session.exe end
 3264 : 3528 2019-10-16 23: 8:33 210 :  0:	daemon.exe started
 3264 : 9568 2019-10-16 23: 8:33 227 :  0:	starting service
